Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 0 0 0.333333333333333 0 NA NA NA NA 0 0 0 0 NA NA NA NA
0.75 0 0 0.35 0.0166666666666667 682 NA NA NA 0 0 0 0 0 NA 0 NA
1.95 1.56666666666667 0.76360946510941 0.433333333333333 0.0350438322025232 280.083333333333 41.4858660670515 NA NA 0 0 0 0 0 0 0 0
2.95 1.83333333333333 0.678620892538296 0.466666666666667 0.044590403603996 266.107142857143 25.8250495551085 109.247997693322 NA 0 0 0 0 0 0 0 0
4.45 5.66666666666667 0.967906041546988 0.783333333333333 0.05 128.75 8.51741295989644 37.6337942431506 7.08388478245594 0 0 0 0 0 0 0 0
7.87 5.26666666666668 1.14544610681853 1.26666666666667 0.0823627690828457 95.0558333333333 5.63337661213003 44.1035276331474 3.67401083143513 0 0 0 0 0 0 0 0
14 9.23333333333335 0.519277500771043 2.36666666666667 0.0535303379031314 74.59 1.08657932550927 30.7940826223384 1.00554725112104 0 0 0 0 0 0 0 0
1.35 0.266666666666666 0.266666666666666 0.366666666666666 0.0229415733870562 425.5 13.9140217047409 NA NA 0 0 0 0 0 0 0 0
3.225 2.8 0.929817941055544 0.516666666666667 0.045079526868525 206.6 30.2172596007278 43.1335136523794 NA 0 0 0 0 0 0 0 0
1000 10.6666666666667 0 2.66666666666667 0 70 0 31.2409987036266 0 0 0 0 0 0 0 0 0
