Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 0.75 0 0.3625 0.0285332216344756 4967.16666666667 676.9485301705 NA NA 0.4 0.112390297389803 0.2 0.0917662935482247 0.888888888888889 0.074535599249993 0.444444444444444 0.117851130197758
0.75 0.75 0 0.6 0.0280975743474508 1191.96666666667 161.544594263233 1161.45730053959 157.682900502414 0.55 0.184604841129427 0 0 0.275 0.0848760706466849 0 0
1.95 0.75 0 0.825 0.0262828741518923 1609.20833333333 150.771351215084 1021.71386407169 127.611205684304 0.8 0.137649440322337 0 0 0.491666666666667 0.09005764885316 0 0
2.95 0.75 0 1.0625 0.0722636801836456 1189.43386904762 90.2994967223931 1040.64489103158 70.302803289428 0.75 0.12301048307916 0 0 0.289642857142857 0.0578878635294382 0 0
4.45 0.75 0 1.325 0.0656445772803496 886.708055555556 59.7754219650973 853.551078182752 57.492793566303 0.85 0.0819178021909125 0 0 0.228055555555556 0.0316317007119207 0 0
7.87 0.75 0 2.6375 0.133863392661089 601.841720779221 50.1863641445628 779.391932042987 99.6073243097165 1.05 0.153468666440246 0.05 0.05 0.107054473304473 0.0145854281017857 0.00454545454545455 0.00454545454545454
14 0.75 0 4.925 0.19117021899757 367.895642181434 21.1231816453058 575.529490269608 57.8069411963978 1.15 0.109424330980483 0 0 0.0590003806679503 0.00552223495064783 0 0
1.35 0.75 0 0.7125 0.0273560827451208 1305.89912280702 140.626258647172 1315.93998590485 113.027151122182 0.7 0.105131496607569 0 0 0.43859649122807 0.0737137924467402 0 0
3.225 0.75 0 1.0375 0.0454328596595251 1076.39416666667 58.321027195355 927.943142866569 55.6598067991165 0.55 0.114132886537902 0 0 0.189166666666667 0.0431113579151312 0 0
1000 0.75 0 21.5 0 180.695402298851 0 565.384317513533 0 2 0 0 0 0.0229885057471264 0 0 0
