Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 0.428571428571429 0 0.142857142857143 0 NA NA NA NA 0 0 0 0 NA NA NA NA
0.75 0.428571428571429 0 0.15 0.00714285714285715 5334.98148148148 194.378044241503 619.400613795603 222.722581992513 2.35 0.264326353307103 1.55 0.256237965057565 0.972222222222222 0.0263523138347365 0.694444444444444 0.0950146187582615
1.95 0.428571428571429 0 0.178571428571429 0.0141914181114112 4083.2575 191.484768470628 1574.14931141838 192.022065724597 3 0.229415733870562 1.9 0.1 0.818333333333333 0.0476018452637565 0.568333333333333 0.0565310554820811
2.95 0.428571428571429 0 0.214285714285714 0.019389168358237 3595.485 154.111626883858 2004.648258984 123.570439515513 3.15 0.22094295524792 1.8 0.137649440322337 0.741666666666667 0.0575765445258064 0.431666666666667 0.0445559638895699
4.45 0.428571428571429 0 0.378571428571429 0.0489140942305295 2835.53783730159 141.166282903434 2206.94885951546 29.7175797381355 3.15 0.243602350693005 2 0 0.581349206349206 0.0586140869078822 0.365515873015873 0.0204338798384777
7.87 0.428571428571429 0 1.02142857142857 0.0489140942305298 1572.70674117549 69.434160547124 2083.87888201971 34.3502635582226 2.4 0.183532587096449 2 0 0.227439782439783 0.0177024689869978 0.192115107115107 0.00972309012280215
14 0.428571428571429 0 2.35714285714286 0.0706726922560593 880.565731804395 23.2876369164899 1642.51668569673 21.733446433954 2.3 0.163835604381825 2 0 0.112958088567928 0.00768944399739081 0.0990648079355173 0.00320552245497324
1.35 0.428571428571429 0 0.171428571428572 0.0131094705068893 4539.7575 224.715960635075 1233.36844123495 264.077004220062 2.45 0.211199581339298 1.7 0.163835604381825 0.815 0.0581626575806342 0.615 0.0811998833289284
3.225 0.428571428571429 0 0.314285714285715 0.0303930570397109 3046.80333333333 116.83642638997 2185.38284252996 54.0653381655069 3 0.229415733870562 2 0 0.596666666666667 0.0592792972944122 0.390833333333333 0.016731234578665
1000 0.428571428571429 0 12 0 256.772727272727 0 844.992841257477 0 2 0 2 0 0.0227272727272727 0 0.0227272727272727 0
